"elem_id","elem_codigo","elem_descripcion","elpr_precio"
814,"023077","BASES LUMINARIA KARLA EN 2",NULL
815,"023078","POSTE METALICO 13M BRAZO SENCILLO",NULL
816,"023079","MANGUERA LUMINOSA NAVIDE¥A",NULL
817,"023080","GRAPA PLASTICA NO.8",NULL
818,"023081","GRAPA GALV. DE 1/2",NULL
819,"023082","CHASO MET.EXPANSION 1/4*1.1/2",NULL
820,"023083","POSTE CONCRETO 12*510 KG",NULL
821,"023084","AMARRES PLASTICOS 203MM",NULL
822,"023085","PERCHA LIVIANA DE 4 PTOS",NULL
823,"023086","REFLECTOR 512",NULL
824,"023087","PANTALLA SEMICIRCULAR",NULL
825,"023088","INSTALACIONES NAVIDE¥AS",NULL
826,"023089","TOMA A 200V",NULL
827,"023090","INSTALACIONES NAVIDE¥AS 140LUCES",NULL
828,"023091","ALAMBRON",NULL
829,"023092","COPAS ALUMINIO /ROYAL PLAZA",NULL
830,"023093","CARCAZA CALIMA II",NULL
831,"023094","CARCAZA PE-VP E-27",NULL
832,"023095","THINER BOT.",NULL
833,"023096","CAPACETE DE 1/2",NULL
336,"023097","THINER GALON",23837.00
834,"023098","LIJA NO.100",NULL
835,"023099","POSTE AGUAS NEGRAS 2*3.5 MT",NULL
836,"023100","CARCAZA LUMINARIA SODIO 250W",NULL
334,"023101","TAPAS TIPO ROYAL PLAZA",NULL
837,"023102","POSTE METALICO DE 4*8 MTS",NULL
184,"023103","CONECTOR DE DERIVACION AL-CU",NULL
134,"023104","CAPACETE DE 1",NULL
838,"023105","CARCAZA REFLECTOR METALAR 400W",NULL
839,"023106","BRAZO LUMINARIA 3/4*1.5 MT",NULL
380,"023107","VIDRIOS SAMBLASTIADOS",NULL
840,"023108","POSTE METALICO 11 MT SIN BRAZOS",NULL
841,"023109","BASES EN ALUMINIO FAROL TIPO BOMBA",NULL
842,"023110","POSTE MET.4*12M +CRUCETA 21/2*1/4",NULL
72,"023111","BOMBA ACRILICO DE 40 CMS",NULL
843,"023112","POSTE MET. 4*10 MTS + CRUCETA DE 1 MT",NULL
844,"023113","CARCAZA FAROL TIPO KARLA",NULL
845,"023114","CARCAZA VERTICAL ABIERTA SODIO 70W",NULL
846,"023115","BRAZO GALV. T3/4*1. MT",NULL
847,"023116","PANTALLA ALUMINIO VERTICAL ABIERTA",NULL
848,"023117","VARILLA 3/8*1.00 MT ROSCADA",NULL
376,"023118","VIDRIOS BISELADOS INSTITUCIONAL",NULL
378,"023119","VIDRIOS CORRUGADOS CHINOS",NULL
201,"023120","CRUCETA GALV. 3*3*1/4*3 MTS",NULL
849,"023121","BASES EN ALUMINIO TIPO ROYAL PLAZA",NULL
850,"023122","UNION GALV. DE 3/4",NULL
851,"023123","CANDADO YALE NO.50",NULL
852,"023124","ACRILICO CILINDRICO 29.5*21.5CMS",NULL
853,"023125","ARANDELA GALV. 3/8",NULL
854,"023126","ARANDELA GALV. 1/8",NULL
855,"023127","TAPA DE INSPECCION 52*52 CMS",NULL
856,"023128","ALAMBRE GALV. NO.16",NULL
857,"023129","VIDRIOS TEMPLADOS 51 CMS DIAM.",NULL
858,"023130","PARARRAYOS LVBB-12 12KV",NULL
859,"023131","AMARRES PLASTICOS 15 CMS",NULL
860,"023132","VARILLA COOPERWELD 5/8*1.8M",NULL
861,"023133","PINTURA AEROSOL CAOBA 16 ONZAS",NULL
862,"023134","TAPA RECTANGULAR GALV.",NULL
863,"023135","ALAMBRON NO.10",NULL
864,"023136","TOMAS DE CUACHO AEREA PEQUE¥AS",NULL
285,"023137","PERCHA GALV. DE 1 PTO",8001.00
865,"023138","CHAZO MET.EXPANSION 3/8",NULL
339,"023143","TORNILLO BRISTOL  3/8*1.1/2",NULL
382,"023144","WASA PRESION 3/8",NULL
866,"023150","VIDRIO 52",NULL
381,"023151","VIDRIOS TEMPLADOS CURVO 31*39",NULL
867,"023152","VIDRIO TEMPLADO 56.5*41 CM",NULL
868,"023153","CADENA",NULL
869,"023154","SOGA",NULL
142,"023155","CHAZO PLASTICO 1/4",NULL
870,"023156","TAPAS EN LAMINA CAL.18",NULL
871,"023157","PULIMENTO 1/32",NULL
872,"023158","LANILLAS",NULL
873,"023159","REDUCCION MET. 2.1/2 A 1.1/4",NULL
874,"023160","SIKADUR 32 (1 KG)",NULL
875,"023161","GRAPA GALV. DE 3/4",NULL
200,"023162","CORTACIRCUITOS 100 AMP",NULL
876,"023163","POSTE CONCRETO 8*750 KG",NULL
877,"023164","CRUCETA GALV. DE 3*3*1/4*1.50MT",NULL
878,"023165","DADOS METALICOS",NULL
879,"023166","POSTE MET.4*12 MT CRUCETA 3*3*2",NULL
880,"023167","POSTE MET.4*10 MT CRUCETA 3*3*2",NULL
881,"023168","VIDRIOS TEMPLADOS DE 55 CMS",NULL
882,"023169","SIKA SET",NULL
883,"023170","POSTE MET. 4*10 MTS DOBLE BRAZO",NULL
884,"023171","PUNTILLON DE 6",NULL
885,"023172","LIJA AGUA NO.60",NULL
886,"023173","SOPORTES FAROL COLONIAL",NULL
377,"023174","VIDRIOS BISELADOS PEQUE¥OS",NULL
887,"023175","ESTOPA",NULL
9,"023176","LIJA AGUA NO.80",NULL
888,"023177","SOPORTES EN TUBO DE 2 REDONDOS",NULL
889,"023178","GUANTES DE CARNAZA",NULL
890,"023179","HOJAS DE SEGUETA",NULL
891,"023180","BROCHA DE 2.1/2",NULL
892,"023181","BASES MET. PARA SOCKET DE 70W",NULL
893,"023182","AROS EN VARILLA 12 MM",NULL
894,"023183","PUNTILLAS ACERO 4",NULL
37,"023184","AISLADOR DE PASTA PEQUE¥O",NULL
895,"023185","PUNTILLA ACERO 4",NULL
896,"023186","PUNTILLAS DE ACERO 2",NULL
897,"023187","TAPA ALUMINIO FAROL INSTITUCIONAL",NULL
898,"023188","BASE ALUMINIO FAROL INSTITUCIONAL",NULL
899,"023189","CLAVIJAS DE CAUCHO 15 AMP",NULL
900,"023190","PUNTILLAS DE ACERO 1",NULL
901,"023191","PUNTILLAS DE ACERO 2.1/2",NULL
902,"023192","AMARRES PLASTICOS DE 25 CMS",NULL
903,"023193","AMARRES PLASTICOS DE 28 CMS",NULL
904,"023194","ALAMBRE GALV. NO.22",NULL
905,"023195","CANASTILLA PROTECTORA REFLECTOR",NULL
906,"023196","REJILLA DE SEGURIDAD",NULL
907,"023197","ESCUADRAS EN ANGULO 1*1/8",NULL
908,"023198","CANDADO YALE NO.60",NULL
909,"023199","MALLA PROTECTORA TUBULAR GALV",NULL
66,"023200","BASES GALV. PARA MALLA",NULL
63,"023201","BARRAS DE SILICONA",NULL
910,"023202","BATERIA RESORTE VARTA",NULL
